seed_bigram,frequency
rzv,17927482
qoh,18197272
njh,19344344
rzh,19606654
njl,21566536
njf,21713140
twv,26909276
rzl,28385944
njd,29828648
sxv,33491564
twb,33927684
njm,34620500
twg,35034282
twm,37022944
qoy,39013678
sxh,39267976
sxb,41747540
njy,44223382
qog,52939942
twf,57949162
njp,59597204
njv,62562970
njg,64427620
rzb,68564356
sxg,69095602
sxc,69480312
twd,73813376
sxm,76162836
qov,76470160
sxl,79301704
sxd,82077594
eky,83317944
twl,87257446
rzd,89843080
sxf,98070836
rzy,98638620
rzm,110023652
rzf,110913866
sxy,119184332
njb,119358630
rzg,127069544
ekg,129371304
ekf,129540596
qou,142261888
qob,143875138
rzu,156999606
eku,169110252
twp,174161614
qoc,177060850
ekb,178945462
rzc,185915356
qof,185961764
qop,218780630
qom,234975066
twu,246802580
njc,249879684
sxu,251082422
ekh,260149960
twy,263138970
qod,267290040
nju,274963860
ekv,281733852
rzp,289036888
sxp,299216120
ekd,317614246
ekc,337787320
qol,347459244
ekp,379465104
twc,387300752
ekl,398871340
twh,453575850
ekm,505055762
